Part B sections: 229
   • [Radiology] 04-Thoracic-Radiology | parsed 39 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Radiology] 05-Neuroradiology | parsed 38 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Radiology] 06-Radiotherapy-Nuclear-Medicine | parsed 14 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Radiology] 07-Pyqs | parsed 66 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Renal & Electrolytes] 01-Renal-Physiology-Graphs | parsed 15 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Renal & Electrolytes] 02-Renal-Tubules-Diuretics-Tubular-Disorders | parsed 30 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Renal & Electrolytes] 03-Glomerular-Diseases | parsed 19 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Renal & Electrolytes] 04-Aki-Ckd | parsed 18 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Renal & Electrolytes] 05-Acid-Base-Electrolyte-Disturbances | parsed 26 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: []
   • [Renal & Electrolytes] 06-Pyqs | parsed 54 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Respiratory System] 01-Respiratory-Physiology-Spirometry | parsed 29 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Respiratory System] 02-Ards | parsed 6 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Respiratory System] 03-Pleural-Effusion-Pulmonary-Embolism-Pah | parsed 17 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [1]
   • [Respiratory System] 04-Chest-Infections | parsed 19 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Respiratory System] 05-Asthma-Copd | parsed 22 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Respiratory System] 06-Ild | parsed 11 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Respiratory System] 07-Carcinoma-Lung | parsed 8 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Respiratory System] 08-Pyqs | parsed 60 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: []
   • [Rheumatology] 01-Connective-Tissue-Diseases | parsed 17 | idx 0 | missing: [] | extra: [2, 3, 4] | no-ans: [2]
   • [Rheumatology] 02-Arthritis | parsed 27 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [2]
   • [Rheumatology] 03-Vasculitis | parsed 9 | idx 0 | missing: [] | extra: [3, 4, 5] | no-ans: [1]
   • [Rheumatology] 04-Myopathy | parsed 2 | idx 0 | missing: [] | extra: [1, 2] | no-ans: [2]
   • [Rheumatology] 05-Miscellaneous | parsed 3 | idx 0 | missing: [] | extra: [3, 4, 1] | no-ans: []
